condition_id,prop_key,prop_name,value_num,value_text,unit,basis,method,standard,notes,temperature_c,strain_rate,frequency_hz,environment,uncertainty,confidence
1,applications_typical,Typical applications,,general structural,,typ,,,,,,,air,,SYN
1,composition_wt_percent,Composition (wt%),,"{""Al"":97.795,""Mg"":0.52,""Si"":0.576,""Cu"":1.11}",wt%,typ,reported,,,,,,air,,SYN
1,impurity_limits,Impurity limits,,high-purity,,typ,,,,,,,air,,SYN
1,crystal_structure,Crystal structure,,HCP,,typ,,,,,,,air,,SYN
1,grain_size,Grain size,45.260324884012206,,um,typ,ASTM E112,ASTM E112,,,,,air,,SYN
1,specific_volume,Specific volume,0.00013260497728249756,,m^3/kg,typ,,,,,,,air,,SYN
1,glass_transition_temperature,Glass transition temperature (Tg),,,C,typ,DSC,,,,,,air,,SYN
1,decomposition_temperature,Decomposition temperature,,,C,typ,TGA,,,,,,air,,SYN
1,boiling_point,Boiling point,,,C,typ,,,,,,,air,,SYN
1,surface_energy,Surface energy,122.81679045412261,,mJ/m^2,typ,,,,,,,air,,SYN
1,shear_modulus,Shear modulus,56717038444.46883,,Pa,typ,calc,,G=E/(2(1+nu)),,,,air,,SYN
1,bulk_modulus,Bulk modulus,171382158798.7638,,Pa,typ,calc,,K=E/(3(1-2nu)),,,,air,,SYN
1,damping_loss_factor,Damping loss factor,0.0045695495089557265,,-,typ,,,,,,,air,,SYN
1,compressive_strength,Compressive strength,425856168.4103048,,Pa,typ,,ASTM E9,,,,,air,,SYN
1,elongation_at_break,Elongation at break,26.36332297238461,,%,typ,,ASTM E8,,,,,air,,SYN
1,hollomon_K,Hollomon strength coefficient (K),1415862927.640096,,Pa,typ,fit,,Synthetic fit parameter,,,,air,,SYN
1,hollomon_n,Hollomon strain hardening exponent (n),0.23570287795206618,,-,typ,fit,,,,,,air,,SYN
1,hardness_vickers,Hardness (Vickers),362.9562622146903,,HV,typ,,ASTM E92,,,,,air,,SYN
1,notch_sensitivity,Notch sensitivity,0.5785482219221671,,-,typ,,,,,,,air,,SYN
1,fracture_toughness_KIC,Fracture toughness KIC,119.92588462240894,,MPa*sqrt(m),typ,,ASTM E399,,,,,air,,SYN
1,impact_charpy,Charpy impact energy,119.07245713072012,,J,typ,,ASTM E23,,,,,air,,SYN
1,dbtt,Ductile-to-brittle transition temperature,,,C,typ,,,,,,,air,,SYN
1,endurance_limit,Endurance limit,842581037.7291461,,Pa,typ,rotating bending,,,,,,air,,SYN
1,mean_stress_model,Mean stress correction model,,Gerber,,typ,,,,,,,air,,SYN
1,deltaK_threshold,Fatigue threshold ΔKth,4.997669968636823,,MPa*sqrt(m),typ,,ASTM E647,,,,,air,,SYN
1,larson_miller_C,Larson–Miller constant C,,,-,typ,LMP,,,,,,air,,SYN
1,relaxation_modulus,Relaxation modulus (at 1h),,,Pa,typ,stress relaxation,,,23.0,,,air,,SYN
1,specific_heat_cp,Specific heat Cp,804.3463819242213,,J/kgK,typ,DSC,,,23.0,,,air,,SYN
1,thermal_diffusivity,Thermal diffusivity,2.4485241421143073e-05,,m^2/s,typ,,,,23.0,,,air,,SYN
1,emissivity,Emissivity,0.5669813392328039,,-,typ,,,,,,,air,,SYN
1,max_service_temperature,Max service temperature,541.3777274774434,,C,typ,,,,,,,air,,SYN
1,electrical_resistivity,Electrical resistivity,1.7521479287132565e-06,,ohm*m,typ,,,,23.0,,,air,,SYN
1,dielectric_constant,Dielectric constant (εr),,,-,typ,,,,,,1000000.0,air,,SYN
1,relative_permeability,Relative permeability μr,1.1323613223598044,,-,typ,,,,,,,air,,SYN
1,curie_temperature,Curie temperature,,,C,typ,,,,,,,air,,SYN
1,refractive_index,Refractive index,,,-,typ,,,,,,,air,,SYN
1,transmittance,Transmittance,,,-,typ,,,,,,,air,,SYN
1,corrosion_rate,Corrosion rate,0.575875529780373,,mm/yr,typ,,,,,,,air,,SYN
1,chemical_compatibility,Chemical compatibility,,good with oils,,typ,,,,,,,air,,SYN
1,coefficient_of_friction,Coefficient of friction (dry),0.4339496229856618,,-,typ,pin-on-disk,,,,,,air,,SYN
1,wear_rate,Wear rate,1.6497045402253678e-05,,mm^3/Nm,typ,Archard,,,,,,air,,SYN
1,machinability_rating,Machinability rating,40.78502255438721,,%,typ,,,100% ~ free-machining steel,,,,air,,SYN
1,weldability_rating,Weldability rating,4.73308084872255,,1-5,typ,,,"1=poor,5=excellent",,,,air,,SYN
1,additive_compatibility,Additive manufacturing compatibility,,SLS,,typ,,,,,,,air,,SYN
1,surface_treatment_compatibility,Surface treatment compatibility,,anodizing,,typ,,,,,,,air,,SYN
1,test_temperature,Test temperature,23.0,,C,typ,,,Default reference test temp,,,,air,,SYN
2,applications_typical,Typical applications,,high-temp service,,typ,,,,,,,air,,SYN
2,composition_wt_percent,Composition (wt%),,"{""Matrix"":60.0,""Fiber"":40.0}",wt%,typ,reported,,,,,,air,,SYN
2,impurity_limits,Impurity limits,,standard,,typ,,,,,,,air,,SYN
2,crystal_structure,Crystal structure,,Amorphous,,typ,,,,,,,air,,SYN
2,grain_size,Grain size,,n/a,,typ,,,,,,,air,,SYN
2,specific_volume,Specific volume,0.0006746894909964524,,m^3/kg,typ,,,,,,,air,,SYN
2,glass_transition_temperature,Glass transition temperature (Tg),,,C,typ,DSC,,,,,,air,,SYN
2,decomposition_temperature,Decomposition temperature,,,C,typ,TGA,,,,,,air,,SYN
2,boiling_point,Boiling point,,,C,typ,,,,,,,air,,SYN
2,surface_energy,Surface energy,,,mJ/m^2,typ,,,,,,,air,,SYN
2,shear_modulus,Shear modulus,21184861232.843147,,Pa,typ,calc,,G=E/(2(1+nu)),,,,air,,SYN
2,bulk_modulus,Bulk modulus,36588584911.603355,,Pa,typ,calc,,K=E/(3(1-2nu)),,,,air,,SYN
2,damping_loss_factor,Damping loss factor,0.06296750999817141,,-,typ,DMA,,,,,,air,,SYN
2,stiffness_matrix_Cij,Stiffness matrix (Cij),,"{""C11"":90.06639457745233,""C22"":14.099505202137852,""C12"":14.80067880983592,""C66"":10.490656761520759}",GPa,typ,laminate theory,,,,,,air,,SYN
2,compressive_strength,Compressive strength,676299391.3947241,,Pa,typ,,,,,,,air,,SYN
2,elongation_at_break,Elongation at break,36.84218110925991,,%,typ,,,,,,,air,,SYN
2,hollomon_K,Hollomon strength coefficient (K),,,Pa,typ,fit,,Synthetic fit parameter,,,,air,,SYN
2,hollomon_n,Hollomon strain hardening exponent (n),,,-,typ,fit,,,,,,air,,SYN
2,hardness_vickers,Hardness (Vickers),,,HV,typ,,,,,,,air,,SYN
2,notch_sensitivity,Notch sensitivity,,,-,typ,,,,,,,air,,SYN
2,fracture_toughness_KIC,Fracture toughness KIC,15.118979886261105,,MPa*sqrt(m),typ,,,,,,,air,,SYN
2,impact_charpy,Charpy impact energy,23.104560717190296,,J,typ,,,,,,,air,,SYN
2,dbtt,Ductile-to-brittle transition temperature,,,C,typ,,,,,,,air,,SYN
2,endurance_limit,Endurance limit,,,Pa,typ,rotating bending,,,,,,air,,SYN
2,mean_stress_model,Mean stress correction model,,Soderberg,,typ,,,,,,,air,,SYN
2,deltaK_threshold,Fatigue threshold ΔKth,,,MPa*sqrt(m),typ,,,,,,,air,,SYN
2,larson_miller_C,Larson–Miller constant C,,,-,typ,LMP,,,,,,air,,SYN
2,relaxation_modulus,Relaxation modulus (at 1h),,,Pa,typ,stress relaxation,,,23.0,,,air,,SYN
2,specific_heat_cp,Specific heat Cp,481.1714944180772,,J/kgK,typ,DSC,,,23.0,,,air,,SYN
2,thermal_diffusivity,Thermal diffusivity,3.6424631211253644e-05,,m^2/s,typ,,,,23.0,,,air,,SYN
2,emissivity,Emissivity,0.07295079799953112,,-,typ,,,,,,,air,,SYN
2,max_service_temperature,Max service temperature,1274.3323773738198,,C,typ,,,,,,,air,,SYN
2,electrical_resistivity,Electrical resistivity,6140693737194909.0,,ohm*m,typ,,,,23.0,,,air,,SYN
2,dielectric_constant,Dielectric constant (εr),3.0398533973162403,,-,typ,,,,,,1000000.0,air,,SYN
2,relative_permeability,Relative permeability μr,1.0130644391392694,,-,typ,,,,,,,air,,SYN
2,curie_temperature,Curie temperature,,,C,typ,,,,,,,air,,SYN
2,refractive_index,Refractive index,1.6126505914483316,,-,typ,,,,,,,air,,SYN
2,transmittance,Transmittance,,,-,typ,,,,,,,air,,SYN
2,corrosion_rate,Corrosion rate,,,mm/yr,typ,,,,,,,acidic,,SYN
2,chemical_compatibility,Chemical compatibility,,solvent sensitive,,typ,,,,,,,air,,SYN
2,coefficient_of_friction,Coefficient of friction (dry),0.1421316730716462,,-,typ,pin-on-disk,,,,,,air,,SYN
2,wear_rate,Wear rate,8.489384371153502e-05,,mm^3/Nm,typ,Archard,,,,,,air,,SYN
2,machinability_rating,Machinability rating,,,%,typ,,,100% ~ free-machining steel,,,,air,,SYN
2,weldability_rating,Weldability rating,,,1-5,typ,,,"1=poor,5=excellent",,,,air,,SYN
2,additive_compatibility,Additive manufacturing compatibility,,SLS,,typ,,,,,,,air,,SYN
2,surface_treatment_compatibility,Surface treatment compatibility,,paint,,typ,,,,,,,air,,SYN
2,test_temperature,Test temperature,23.0,,C,typ,,,Default reference test temp,,,,air,,SYN
3,applications_typical,Typical applications,,high-temp service,,typ,,,,,,,air,,SYN
3,composition_wt_percent,Composition (wt%),,"{""Base"":100.0}",wt%,typ,reported,,,,,,air,,SYN
3,impurity_limits,Impurity limits,,low,,typ,,,,,,,air,,SYN
3,crystal_structure,Crystal structure,,BCC,,typ,,,,,,,air,,SYN
3,grain_size,Grain size,3.211504324487969,,um,typ,ASTM E112,ASTM E112,,,,,air,,SYN
3,specific_volume,Specific volume,0.00013063347914143782,,m^3/kg,typ,,,,,,,air,,SYN
3,glass_transition_temperature,Glass transition temperature (Tg),,,C,typ,DSC,,,,,,air,,SYN
3,decomposition_temperature,Decomposition temperature,,,C,typ,TGA,,,,,,air,,SYN
3,boiling_point,Boiling point,,,C,typ,,,,,,,air,,SYN
3,surface_energy,Surface energy,,,mJ/m^2,typ,,,,,,,air,,SYN
3,shear_modulus,Shear modulus,31497603884.979214,,Pa,typ,calc,,G=E/(2(1+nu)),,,,air,,SYN
3,bulk_modulus,Bulk modulus,59531289165.8893,,Pa,typ,calc,,K=E/(3(1-2nu)),,,,air,,SYN
3,damping_loss_factor,Damping loss factor,0.015509915904270904,,-,typ,,,,,,,air,,SYN
3,compressive_strength,Compressive strength,1547372816.1263852,,Pa,typ,,ASTM E9,,,,,air,,SYN
3,elongation_at_break,Elongation at break,21.33058296568972,,%,typ,,ASTM E8,,,,,air,,SYN
3,hollomon_K,Hollomon strength coefficient (K),1901550993.591045,,Pa,typ,fit,,Synthetic fit parameter,,,,air,,SYN
3,hollomon_n,Hollomon strain hardening exponent (n),0.06827135736499065,,-,typ,fit,,,,,,air,,SYN
3,hardness_vickers,Hardness (Vickers),501.7555680994457,,HV,typ,,ASTM E92,,,,,air,,SYN
3,notch_sensitivity,Notch sensitivity,0.9079336010839408,,-,typ,,,,,,,air,,SYN
3,fracture_toughness_KIC,Fracture toughness KIC,104.43410209381642,,MPa*sqrt(m),typ,,ASTM E399,,,,,air,,SYN
3,impact_charpy,Charpy impact energy,204.6865229424291,,J,typ,,ASTM E23,,,,,air,,SYN
3,dbtt,Ductile-to-brittle transition temperature,,,C,typ,,,,,,,air,,SYN
3,endurance_limit,Endurance limit,537570627.5215089,,Pa,typ,rotating bending,,,,,,air,,SYN
3,mean_stress_model,Mean stress correction model,,Soderberg,,typ,,,,,,,air,,SYN
3,deltaK_threshold,Fatigue threshold ΔKth,3.307632590221238,,MPa*sqrt(m),typ,,ASTM E647,,,,,air,,SYN
3,larson_miller_C,Larson–Miller constant C,21.06328207338027,,-,typ,LMP,,,,,,air,,SYN
3,relaxation_modulus,Relaxation modulus (at 1h),,,Pa,typ,stress relaxation,,,23.0,,,air,,SYN
3,specific_heat_cp,Specific heat Cp,917.323639140138,,J/kgK,typ,DSC,,,23.0,,,air,,SYN
3,thermal_diffusivity,Thermal diffusivity,7.767296509364603e-05,,m^2/s,typ,,,,23.0,,,air,,SYN
3,emissivity,Emissivity,0.5976991750563624,,-,typ,,,,,,,air,,SYN
3,max_service_temperature,Max service temperature,704.4253276248335,,C,typ,,,,,,,air,,SYN
3,electrical_resistivity,Electrical resistivity,3.123579325311499e-07,,ohm*m,typ,,,,23.0,,,air,,SYN
3,dielectric_constant,Dielectric constant (εr),,,-,typ,,,,,,1000000.0,air,,SYN
3,relative_permeability,Relative permeability μr,0.9853897427646311,,-,typ,,,,,,,air,,SYN
3,curie_temperature,Curie temperature,,,C,typ,,,,,,,air,,SYN
3,refractive_index,Refractive index,,,-,typ,,,,,,,air,,SYN
3,transmittance,Transmittance,,,-,typ,,,,,,,air,,SYN
3,corrosion_rate,Corrosion rate,1.2382024783669898,,mm/yr,typ,,,,,,,air,,SYN
3,chemical_compatibility,Chemical compatibility,,excellent oxidation resistance,,typ,,,,,,,air,,SYN
3,coefficient_of_friction,Coefficient of friction (dry),0.09631646532182846,,-,typ,pin-on-disk,,,,,,air,,SYN
3,wear_rate,Wear rate,6.823345414249117e-05,,mm^3/Nm,typ,Archard,,,,,,air,,SYN
3,machinability_rating,Machinability rating,57.76537194840437,,%,typ,,,100% ~ free-machining steel,,,,air,,SYN
3,weldability_rating,Weldability rating,2.929948055275454,,1-5,typ,,,"1=poor,5=excellent",,,,air,,SYN
3,additive_compatibility,Additive manufacturing compatibility,,SLM,,typ,,,,,,,air,,SYN
